Question,Answer
Is a Core an anatomical part of an almond?,No
Is a Shell an anatomical part of an almond?,Yes
Is a Peel an anatomical part of an almond?,No
Is a Stem an anatomical part of an almond?,No
"When cutting an almond, what tool should be used?",Knife
"When peeling an almond, what tool should be used?",Nutcracker
Is a Core an anatomical part of an apple?,Yes
Is a Shell an anatomical part of an apple?,No
Is a Peel an anatomical part of an apple?,Yes
Is a Stem an anatomical part of an apple?,No
"When cutting an apple, what tool should be used?",CuttingTool
"When peeling an apple, what tool should be used?",Peeler
Is a Core an anatomical part of an avocado?,Yes
Is a Shell an anatomical part of an avocado?,No
Is a Peel an anatomical part of an avocado?,Yes
Is a Stem an anatomical part of an avocado?,No
"When cutting an avocado, what tool should be used?",Knife
"When peeling an avocado, what tool should be used?",Knife
Is a Core an anatomical part of a banana?,No
Is a Shell an anatomical part of a banana?,No
Is a Peel an anatomical part of a banana?,Yes
Is a Stem an anatomical part of a banana?,No
"When cutting a banana, what tool should be used?",Knife
"When peeling a banana, what tool should be used?",Hand
Is a Core an anatomical part of a bean?,No
Is a Shell an anatomical part of a bean?,No
Is a Peel an anatomical part of a bean?,No
Is a Stem an anatomical part of a bean?,No
"When cutting a bean, what tool should be used?",Knife
Is a Core an anatomical part of a cherry?,No
Is a Shell an anatomical part of a cherry?,No
Is a Peel an anatomical part of a cherry?,No
Is a Stem an anatomical part of a cherry?,No
Is a Core an anatomical part of a citron?,No
Is a Shell an anatomical part of a citron?,No
Is a Peel an anatomical part of a citron?,Yes
Is a Stem an anatomical part of a citron?,No
"When cutting a citron, what tool should be used?",Knife
"When peeling a citron, what tool should be used?",Hand
Is a Core an anatomical part of a coconut?,No
Is a Shell an anatomical part of a coconut?,Yes
Is a Peel an anatomical part of a coconut?,No
Is a Stem an anatomical part of a coconut?,No
"When cutting a coconut, what tool should be used?",Knife
"When peeling a coconut, what tool should be used?",Nutcracker
Is a Core an anatomical part of a cucumber?,No
Is a Shell an anatomical part of a cucumber?,No
Is a Peel an anatomical part of a cucumber?,Yes
