question,model_answer
Is a Core an anatomical part of an almond?,"No. 

A core is a central part of fruits like apples, but almonds have a pit."
Is a Shell an anatomical part of an almond?,"No. 

A shell is the hard outer covering of a nut, not an almond's anatomical part."
"What is the edibility of an almond's Shell - can it be eaten, should it be avoided or must it be avoided?",Almond shells are **not edible** and should be avoided.
Is a Peel an anatomical part of an almond?,"No. 

The peel is the outer skin of the almond, not an anatomical part."
Is a Stem an anatomical part of an almond?,"No. 

Stems are part of the plant, but almonds are the seeds within the fruit of the almond tree."
"When cutting an almond, what tool should be used?",A nutcracker.
"When peeling an almond, what tool should be used?",A nutcracker or your fingers.
Is a Core an anatomical part of an apple?,No.
"What is the edibility of an apple's Core - can it be eaten, should it be avoided or must it be avoided?","It can be eaten, but most people avoid it due to texture and seed hardness."
Is a Shell an anatomical part of an apple?,"No. 

The shell is a protective outer layer, not an anatomical part of the apple itself."
Is a Peel an anatomical part of an apple?,No. A peel is the outer skin of an apple.
"What is the edibility of an apple's Peel - can it be eaten, should it be avoided or must it be avoided?","Apple peels are edible, but some people prefer to remove them due to texture or pesticide concerns."
Is a Stem an anatomical part of an apple?,"No. 

A stem is a part of the apple tree, not the fruit itself."
"When cutting an apple, what tool should be used?",A knife.
"When peeling an apple, what tool should be used?",A peeler.
Is a Core an anatomical part of an avocado?,"No. 

The ""core"" of an avocado is actually the seed."
"What is the edibility of an avocado's Core - can it be eaten, should it be avoided or must it be avoided?","It can be eaten, but it's tough and bitter. Most people avoid it."
Is a Shell an anatomical part of an avocado?,Yes.
Is a Peel an anatomical part of an avocado?,Yes.
"What is the edibility of an avocado's Peel - can it be eaten, should it be avoided or must it be avoided?",Avocado peel is **edible but generally avoided** due to its tough texture and bitter taste.
Is a Stem an anatomical part of an avocado?,"No. 

A stem is a part of the avocado tree, not the fruit itself."
"When cutting an avocado, what tool should be used?",A sharp chef's knife.
"When peeling an avocado, what tool should be used?",A knife.
Is a Core an anatomical part of a banana?,No.
Is a Shell an anatomical part of a banana?,"No. 

The shell is a protective outer layer of some fruits and nuts, not bananas."
Is a Peel an anatomical part of a banana?,"No. 

The peel is not an anatomical part of the banana fruit itself, but rather a protective outer layer."
"What is the edibility of a banana's Peel - can it be eaten, should it be avoided or must it be avoided?",Banana peels are edible but generally **should be avoided** due to their tough texture and bitter taste.
Is a Stem an anatomical part of a banana?,"No. Bananas grow from a rhizome, not a stem."
"When cutting a banana, what tool should be used?",A knife.
"When peeling a banana, what tool should be used?",Your hands.
Is a Core an anatomical part of a bean?,"No. 

A ""core"" usually refers to the central part of a fruit, like an apple. Beans have seeds inside a pod."
Is a Shell an anatomical part of a bean?,"No. 

A shell is the protective outer covering of a seed, like a peanut or walnut. Beans have pods."
Is a Peel an anatomical part of a bean?,"No. 

A peel is the outer skin of a fruit or vegetable, not a bean."
Is a Stem an anatomical part of a bean?,"No. 

Beans are seeds, not plants with stems."
"When cutting a bean, what tool should be used?",A knife.
Is a Core an anatomical part of a cherry?,No.
